setter_username,name,description,matching,angle,benchmark_difficulty,frames
tensionclimbing,More Like It,No matching,1,35,18,p305r5p321r6p324r6p336r8p340r6p366r8p431r6p432r6p435r8p471r6p549r8p589r7p685r8
tensionclimbing,More Like It,No matching,1,40,20,p305r5p321r6p324r6p336r8p340r6p366r8p431r6p432r6p435r8p471r6p549r8p589r7p685r8
tensionclimbing,More Like It,No matching,1,45,20,p305r5p321r6p324r6p336r8p340r6p366r8p431r6p432r6p435r8p471r6p549r8p589r7p685r8
willanglin,So Below,No Matching,1,40,26,p549r8p555r6p556r6p572r8p591r5p594r6p607r6p624r6p655r8p657r5p732r6p758r7
willanglin,Mending,No matching,1,45,24,p554r6p592r6p608r6p626r8p657r5p666r5p686r6p687r6p711r7
agresta,Slave Knight Gael,No Matching,1,45,26,p368r5p475r7p553r6p554r6p558r8p563r8p580r8p730r6p742r8
dylanschuenemann,Slander in the City,,0,50,23,p429r5p440r8p444r6p557r6p559r8p602r6p618r6p640r5p652r8p739r8p758r7
tensionclimbing,Rational Gaze,No matching,1,40,26,p315r6p351r5p357r7p556r6p566r8p569r6p591r8p611r8p651r8p729r6
tensionclimbing,Rational Gaze,No matching,1,45,27,p315r6p351r5p357r7p556r6p566r8p569r6p591r8p611r8p651r8p729r6
tensionclimbing,Fragmentation,No matching,1,50,29,p562r8p568r8p572r6p601r6p613r5p627r8p630r6p641r8p653r8p655r6p661r6p710r6p732r7p763r8p798r8
tensionclimbing,Constant Sleep,No matching,1,35,22,p317r8p351r5p360r6p365r8p449r6p689r8p691r6p693r6p700r6p710r6p737r8p758r7
tensionclimbing,Constant Sleep,No matching,1,40,23,p317r8p351r5p360r6p365r8p449r6p689r8p691r6p693r6p700r6p710r6p737r8p758r7
tensionclimbing,Constant Sleep,No matching,1,45,25,p317r8p351r5p360r6p365r8p449r6p689r8p691r6p693r6p700r6p710r6p737r8p758r7
tensionclimbing,Sleeping Giant,,0,30,22,p549r8p554r6p611r8p613r5p616r6p685r8p740r6p742r8p758r7
tensionclimbing,Exxplosive,No matching,1,35,20,p547r8p549r5p569r6p721r5p739r6p740r6p786r7
tensionclimbing,Exxplosive,No matching,1,45,22,p547r8p549r5p569r6p721r5p739r6p740r6p786r7
tensionclimbing,Comin’ Home,No matching,1,40,22,p326r7p444r7p471r6p475r6p479r6p544r6p587r8p720r8p727r8p735r5p740r6p762r6
